post_id,username,is_verified,text,like_count,reply_count,repost_count,quote_count,reshare_count,is_reply,permalink,taken_at,timestamp,search_keyword,post_date,text_length,total_engagement,taken_at_tpe,post_category,audience_type,has_越南簽證,has_越南電子簽,has_越南evisa,has_越南快速通關,has_快速通關,matched_keywords,is_commercial
3853316639073475825_71868536761,_lu.ci.fer_____,False,"⠀
⠀⠀
⠀⠀
⠀ ⠀ ⠀ ⠀  台灣已婚男生⠀
⠀  去過越南都會後悔太早結婚

⠀
⠀ ⠀",1997,403,9,1,901,False,https://www.threads.net/@_lu.ci.fer_____/post/DV5uxFHE5zx,1773571160,2026-03-15 10:39:20+00:00,越南簽證,2026-03-15,47,3311,2026-03-15 18:39:20,其他,t2,False,False,False,False,False,0,False
3853325760048854227_75490350318,s86483195,False,看了很久也覺得這樣比較可行，去對岸轉機還要台胞，在首爾轉可以吃烤肉~~那印度呢？我預計想在曼谷轉，因為越南轉沒有直接飛走還是要簽證,0,1,0,0,0,True,https://www.threads.net/@s86483195/post/DV5w1zrkvTT,1773572247,2026-03-15 10:57:27+00:00,越南簽證,2026-03-15,65,1,2026-03-15 18:57:27,其他,t1,False,False,False,False,False,0,False
3853918640002059299_63123137253,claireyang20,False,"【芽起來】越南芽莊５／６日
清明連假4/1出發還有機位
(送網卡! 含越南簽證哦!)
出發日期：4/1.5.15.19、5/3
無購物、升等全程五星飯店、米其林推薦餐聽Bếp Mẹ Ỉn胖媽廚房、泥漿浴+水樂園、一日自由活動、
~~19900起/人~~",4,4,0,0,0,False,https://www.threads.net/@claireyang20/post/DV73pWKlEwj,1773642924,2026-03-16 06:35:24+00:00,越南簽證,2026-03-16,126,8,2026-03-16 14:35:24,其他,t1,True,False,False,False,False,1,False
3853819764804233846_63423718516,141319__,False,"真的要被嚇死了
完全忘記去越南要簽證
差點飛去直接出不了境
還沒辦的今天要趕快辦了 
急件～$3000元ㅠㅠ",27,3,1,0,12,False,https://www.threads.net/@141319__/post/DV7hKhdiSp2,1773631137,2026-03-16 03:18:57+00:00,越南簽證,2026-03-16,54,43,2026-03-16 11:18:57,其他,t1,False,False,False,False,False,0,False
3853735034007698331_43497338765,visawang666,False,"🔥【越南簽證代辦】保證過件！直升90天超長效期🔥
​
​
計畫前往越南旅遊或商務出差嗎？
手續交給簽證王，保證過件、零錯誤率。
全程線上辦理，出國輕鬆無負擔！
​
​
💰 【越南電子簽證：產品規格與費用】
​
​
✅ 單次入境電子簽證
🔹辦理天數｜ 6 個工作天
🔹簽證效期｜ 90 天
🔹專案費用｜ 1,400元起
​
​
✅ 多次入境電子簽證
🔹辦理天數｜ 6個工作天
🔹簽證效期｜ 90 天
🔹專案費用｜ 2,480元起
(以上不含例假日，另提供急件代辦服務)
​
​
📂 【準備資料：僅需電子檔】
​
🔸護照：效期至少六個月以上。
🔸照片：半年內兩吋大頭照。
​
​
🏆 【專業優勢】
24小時專人服務、三層嚴格審查，確保100%過件率！
​
​
💬 您的越南之旅預計幾月出發？
點擊留言區，加入LINE官方帳號，私訊「越簽」，為您代辦！
​
​
#簽證 #越南旅遊 #電子簽證 ​ #保證過件 #簽證王優點一次講",7,3,0,0,0,False,https://www.threads.net/@visawang666/post/DV7N5hwgbub,1773621037,2026-03-16 00:30:37+00:00,越南簽證,2026-03-16,411,10,2026-03-16 08:30:37,商案文,t1,True,True,False,False,False,2,True
3853984143689024775_63105437462,diemallow,False,有冇香港人去農心ns越南個活動🥲🥲,5,11,0,0,3,False,https://www.threads.net/@diemallow/post/DV8GijOkoUH,1773650733,2026-03-16 08:45:33+00:00,越南簽證,2026-03-16,17,19,2026-03-16 16:45:33,其他,t2,False,False,False,False,False,0,False
3854109272553024157_67764857450,ps_chenendo,False,"很好奇
如果突然多出 4～5天的假期
大家會立刻安排一個小旅行嗎？

只能選一個地方的話
你會去哪裡？

🇹🇼 臺灣玩耍
🇯🇵 日本
🇰🇷 韓國
🇹🇭 泰國
🇻🇳 越南
🇸🇬 新加坡
🇲🇾 馬來西亞

還是有更好的地方？

我先：大概又是日本了😅",38,92,0,0,2,False,https://www.threads.net/@ps_chenendo/post/DV8i_akD-qd,1773665649,2026-03-16 12:54:09+00:00,越南簽證,2026-03-16,123,132,2026-03-16 20:54:09,其他,t2,False,False,False,False,False,0,False
3854584537746248926_65963704219,zihsin030,False,"好！各位朋友，我要提前三天去越南峴港
這三天只有我一個女生，有什麼該注意嗎？

我是一個超愛跟當地居民聊天的女子
雖然英文很破，但就用翻譯硬聊🤣

🛜網卡買了
💰現金換了
🎟️住宿訂了
📑保險買了
🪪護照帶了",36,57,1,0,2,False,https://www.threads.net/@zihsin030/post/DV-PDbxFBTe,1773722306,2026-03-17 04:38:26+00:00,越南簽證,2026-03-17,104,96,2026-03-17 12:38:26,其他,t2,False,False,False,False,False,0,False
3854815163338279400_63300099411,nancyaaa.io,False,越南！,0,1,0,0,0,True,https://www.threads.net/@nancyaaa.io/post/DV_DfelkUno,1773749798,2026-03-17 12:16:38+00:00,越南簽證,2026-03-17,3,1,2026-03-17 20:16:38,其他,t2,False,False,False,False,False,0,False
3855446116565919736_80562434293,travelsdavidavi,False,"可幫忙代辦越南簽證+快速通關
若要去越南玩的 趕快辦簽證
早辦早安心❤️",5,0,0,0,0,False,https://www.threads.net/@travelsdavidavi/post/DWBS9Dkkif4,1773825014,2026-03-18 09:10:14+00:00,越南簽證,2026-03-18,36,5,2026-03-18 17:10:14,其他,t1,True,False,False,False,True,2,False
